sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
This document is H&M Group’s Annual and Sustainability Report detailing our financial and non-financial performance in the year from 1 December 2022 to 30 November 2023 (the 2023 financial year).,3,How we report,other,,1,2022,,,0.5,data/raw/hm/2023_sustainability_report.pdf
"We are continually working to develop our business model in order to add profitable growth while at the same time reducing our energy consumption, increasing the percentage of renewable energy and reducing our climate footprint, so that we can contribute to a more sustainable fashion industry.",4,How we report,attribute,hedged,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf
"For example, we continued to increase the percentage of recycled or sustainably sourced materials in the collections, reaching a level of 85 percent in 2023.",4,How we report,attribute,,85 percent,,,,0.5,data/raw/hm/2023_sustainability_report.pdf
Our goal is for 100 percent of our materials to be made from recycled or sustainably sourced materials by 2030.,4,How we report,target,,100 percent,,2030,,0.5,data/raw/hm/2023_sustainability_report.pdf
Our climate goals are set high and results show that we reduced greenhouse gas emissions by 22 percent in 2023.,4,How we report,achievement,achievement,22 percent,,,,0.33,data/raw/hm/2023_sustainability_report.pdf
This takes us even closer to our science-based targets that include a 56 percent reduction1 in greenhouse gas emissions by 2030 – being among the most ambitious in our industry.,4,How we report,target,,56 percent,,2030,,0.5,data/raw/hm/2023_sustainability_report.pdf
1) Refers to science-based targets for own operations (scope 1 and 2) and for the company’s entire value chain (scope 3) and excludes the use of sold products.,4,How we report,other,,1,,,Scope 1; Scope 3; own operations; value chain,1.0,data/raw/hm/2023_sustainability_report.pdf
"With a strong customer focus, committed colleagues and an increased pace of investment we see good conditions for continued profitable and sustainable growth in 2024.",4,How we report,other,firm,,,,,0.0,data/raw/hm/2023_sustainability_report.pdf
Climate: % absolute reduction in GHG emissions (scope 1 and 2) compared with 2019 baseline.,7,Key figures,other,,1,2019,,Scope 1,1.0,data/raw/hm/2023_sustainability_report.pdf
Climate: % absolute reduction in GHG emissions (scope 3)3 compared with 2019 baseline.,7,Key figures,other,,3,2019,,Scope 3,1.0,data/raw/hm/2023_sustainability_report.pdf
"H&M Group was identified as one of six overall leaders of 130 participating companies in the 2023 Material Change Index, based on the company’s submitted data to the Materials Benchmark programme.",8,Key figures > Textile Exchange Material Change Index,achievement,achievement,130,,,,0.33,data/raw/hm/2023_sustainability_report.pdf
