sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"We also collaborate with our business partners to increase the use and availability of certified, ­recycled, and sustainably sourced materials.",38,Material sustainability matters > Time horizon,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"In 2024, we conducted an updated climate-related scenario analysis to gain deeper insights into both physical and transition risks along our full value chain and the resilience of H&M Group’s strategy and business model regarding climate change.",38,Climate change,other,,"2024,",,,value chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"The results of the analysis have informed our strategic priorities during 2025, enabling us to take action to strengthen our business resilience in alignment with our climate transition plan.",38,Climate change,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"This resilience is supported by strategic investments in services that extend product life, increased use of recycled materials, diversification of raw material sourcing, and the transition to renewable energy and energy-efficient production technologies.",38,Climate change,attribute,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"To address this matter, we have taken action to reduce greenhouse gas emissions from production and transportation by phasing out fossil fuels while transitioning to the use of recycled and sustainably sourced materials.",38,Climate change > GHG emissions along the value chain,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"To reduce this risk, we execute shifts in our material basket and invest in new ventures and initiatives aimed at increasing the supply of recycled and next-generation materials.",38,Climate change > Risk of increased ­procurement costs due to climate change (P),attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"The analysis was conducted in 2024, covering scenarios over the shortterm (within one year), medium-term (by 2030) and long-term (by 2040) to align with the time-horizons used when setting our climate targets.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),target,achievement,"2024,",,2030,,0.5,data/raw/hm/2025_sustainability_report.pdf
"The ­analysis is based on three climate scenarios1: a low (1.5°C), moderate (~3°C), and high (>3°C) warming pathway.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),other,,1.5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"These events may also lead to a shift in consumer sentiment with an increased demand for recycled products and materials, presenting opportunities to grow revenue by scaling resale.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),attribute,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Policies related to climate change To manage matters related to climate change, we are guided by our environmental policy, which commits us to reducing our climate impact in line with the 1.5°C target and the Paris Agreement.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),other,,1.5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Our climate transition plan Building on our business idea and strategic priorities, we have adopted a ­climate transition plan and set science based targets in line with the Paris Agreement to contribute to the limiting of global warming to 1.5°C.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),other,hedged,1.5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
The plan supports our broader policy commitments and long-term business objectives to ensure we work towards reaching net-zero and take action to mitigate climate change.,39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),attribute,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"As part of this plan, we have identified a set of decarboni­sation levers including decarbonising own operations, decarbonising pro­duction processes and transport in our supply chain, and shifting to recycled and sustainably sourced materials for our products and packaging.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),attribute,,,,,own operations; supply chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we allocated a total of SEK 2,484.2 m OpEx and SEK 347 m CapEx to our key actions related to our climate transition plan.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"We have not invested in any coal, oil or gas-related economic activities during 2025.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Furthermore, to support our transition towards net-zero, we have conducted a qualitative assessment of potential locked-in GHG emissions associated with our operations, products or assets.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),attribute,hedged,,,,own operations,0.5,data/raw/hm/2025_sustainability_report.pdf
"Our GHG emission reductions have been driven by increased renewable energy use, energy efficiency improvements in our operations and supply chain, and a greater share of recycled and sustainably sourced materials in our material basket.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),attribute,achievement,,,,own operations; supply chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"This includes shifting towards recycled and sustainably sourced materials, adopting energyefficient technologies, and sourcing renewable energy.",39,Climate change > Risk of supply disrup­tions along transpor­tation routes due to climate change (P),attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our targets and actions To ensure we achieve our ambition and contribute to the limiting of global warming to 1.5°C, we have set targets related to our key actions and decarbonisation levers in alignment with our climate transition plan.",40,Our actions to reduce GHG emissions > Risk of increased sourcing costs due to carbon taxes (T),target,hedged,1.5,,,,0.25,data/raw/hm/2025_sustainability_report.pdf
"Decarbonising own operations To enable the decarbonisation of our own operations, we have set targets to reduce absolute Scope 1 and 2 GHG emissions by 90 percent by 2040 and 56 percent by 2030, against a 2019 baseline.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,90 percent,2019,2040,Scope 1; own operations,1.0,data/raw/hm/2025_sustainability_report.pdf
These targets have been validated against SBTi’s Net-Zero Standard and were formally approved by the SBTi during 2022 as being in line with what the latest climate science regards as necessary to limit global warming to 1.5°C above pre-industrial levels.,40,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,2022,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Action: Improving energy efficiency in own operations To reduce our Scope 1 and 2 GHG emissions, we have taken action to improve energy efficiency in our own operations during 2025.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,1,,,Scope 1; own operations,1.0,data/raw/hm/2025_sustainability_report.pdf
"The aim of this action is to ensure we achieve a 36 percent reduction in electricity consumption per square metre and opening hour in all our stores by 2030, against a 2016 baseline.",40,Our actions to reduce GHG emissions > Targets for 2040,target,hedged,36 percent,2016,2030,,0.75,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we allocated a total of SEK 7.2 m OpEx and SEK 296.9 m CapEx towards these energy efficiency improvements.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Based on our projections, this action is expected to reduce our Scope 1 and 2 market-based GHG emissions by around 1 percent by 2030, compared with our total emissions in 2019.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,1 percent,,2030,Scope 1,0.75,data/raw/hm/2025_sustainability_report.pdf
"Action: Sourcing of renewable energy in own operations During 2025, we have taken action to increase the share of renewable energy that is matched with consumption in our stores, warehouses and offices.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,"2025,",,,own operations,1.0,data/raw/hm/2025_sustainability_report.pdf
"The aim of this action is to ensure that we reach 100 percent matching of renewable electricity for our own operations by 2030, with at least 50 percent coming from Virtual Power Purchase Agreements (VPPAs), driving the development of new renewable electricity generation.",40,Our actions to reduce GHG emissions > Targets for 2040,target,hedged,100 percent,,2030,own operations,0.75,data/raw/hm/2025_sustainability_report.pdf
"VPPAs will not significantly reduce our market-based Scope 2 GHG emissions, but they will contribute to the expansion of new renewable energy capacity.",40,Our actions to reduce GHG emissions > Targets for 2040,other,firm,2,,,Scope 2,1.0,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we allocated a total of SEK 59.2 m OpEx and SEK 2.9 m CapEx towards sourcing renewable energy, including leveraging VPPAs to support the development of new renewable electricity, installing on-site solar PVs, and procuring renewable energy attribute certificates.",40,Our actions to reduce GHG emissions > Targets for 2040,other,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Based on our projections, this action is expected to reduce our market-based Scope 1 ­and 2 GHG emissions by around 55 percent by 2030, compared with our total emissions in 2019.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,55 percent,,2030,Scope 1,0.75,data/raw/hm/2025_sustainability_report.pdf
"Decarbonising production To enable the decarbonisation of production processes in our garment ­supply chain from Tier 1 to 3, we have set targets to reduce absolute Scope 3 GHG emissions (excluding indirect use-phase emissions) by 90 percent by 2040 and 56 percent by 2030, compared with a 2019 baseline.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,90 percent,2019,2040,Scope 3; supply chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
These targets have been validated against the SBTi’s Net-Zero Standard and were formally approved by the SBTi in 2022 as aligned with the latest climate science on limiting global warming to 1.5°C above pre-industrial levels.,40,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,2022,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Action: Improving energy efficiency in garment and fabric manufacturing During 2025, we have taken action to support our garment and fabric manufacturing suppliers to improve the energy efficiency of their production processes.",40,Our actions to reduce GHG emissions > Targets for 2040,other,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we allocated a total of SEK 27.1 m OpEx towards energy efficiency improvements within our supply chain.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,"2025,",,,supply chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"Based on our projections, this action is projected to deliver a 2 percent reduction in Scope 3 GHG emissions compared with a 2019 baseline, equivalent to around 81,306 tonnes of CO₂e by 2030.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,2 percent,2019,2030,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"To reduce GHG emissions from production processes, we are therefore working with our suppliers in Tier 1, 2 and 3 with the aim to phase out on-site coal by 2026.",40,Our actions to reduce GHG emissions > Targets for 2040,target,hedged,"1,",,2026,supply chain (tier 1),0.75,data/raw/hm/2025_sustainability_report.pdf
"By 2030, we aim for all suppliers in Tier 1 to 3 to source 100 percent renewable electricity for the production of our garments – from spinning to finished product.",40,Our actions to reduce GHG emissions > Targets for 2040,target,hedged,100 percent,,2030,supply chain (tier 1),0.75,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we invested SEK 24.6 m OpEx on activities related to the phase out of fossil fuels in garment and fabric manufacturing.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Based on our projections, this action is projected to deliver a 38 percent reduction in Scope 3 GHG emissions compared with a 2019 baseline, equivalent to around 1,565,387 tonnes of CO₂e by 2030.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,38 percent,2019,2030,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"In Indonesia, two strategic suppliers have signed Green Electricity Tariff Agreements (GEAS), while in Türkiye a strategic supplier signed the industry’s first CPPA in the country.",40,Our actions to reduce GHG emissions > Targets for 2040,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Decarbonising transports To enable the decarbonisation of transportation to and from our stores, warehouses and customers, we have set targets to reduce absolute Scope 3 GHG emissions (excluding indirect use-phase emissions) by 90 percent by 2040 and 56 percent by 2030, compared with a 2019 baseline.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,90 percent,2019,2040,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
These targets have been validated against the SBTi’s Net-Zero Standard and were formally approved by the SBTi in 2022 as aligned with the latest climate science on limiting global warming to 1.5°C above pre-industrial levels.,40,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,2022,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Action: Optimising logistics and transition to low emission transports During 2025, we have taken action to optimise our logistics network, while expanding the use of zero-emission vehicles (ZEV).",40,Our actions to reduce GHG emissions > Targets for 2040,attribute,,"2025,",2025,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Based on our projections, this action is projected to deliver a 3 percent absolute reduction in Scope 3 emissions by 2030, compared with 2019 levels.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,3 percent,2019,2030,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"Material shifts related to our resource use and inflows In alignment with our overall business idea and climate transition plan, we have set targets to increase the use of recycled and sustainably sourced materials in our products and packaging.",40,Our actions to reduce GHG emissions > Targets for 2040,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Action: Increasing use of recycled and sustainably sourced materials The extraction and production of raw materials such as cotton and wool ­generates GHG emissions, consumes water and impacts ecosystems.",40,Our actions to reduce GHG emissions > Targets for 2040,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"During 2025, we have therefore taken action to increase the use of recycled and ­sustainably sourced materials in our products and packaging.",40,Our actions to reduce GHG emissions > Targets for 2040,attribute,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
This action is ongoing and planned until 2030 for when we aim to source 100 percent recycled or sustainably sourced materials in our products and packaging.,40,Our actions to reduce GHG emissions > Targets for 2040,target,hedged,100 percent,,2030,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we allocated a total of SEK 1,244.5 m OpEx on initiatives with the aim to increase our use of recycled and sustainably sourced materials.",40,Our actions to reduce GHG emissions > Targets for 2040,attribute,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Based on our projections, this action is projected to deliver a 13 percent reduction in Scope 3 GHG emissions by 2030, compared with 2019 levels.",40,Our actions to reduce GHG emissions > Targets for 2040,target,,13 percent,2019,2030,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"Reaching net-zero In order to drive change within our industry and to support the global transition, we have also set a long-term climate target to become net-zero by 2040.",40,Our actions to reduce GHG emissions > Targets for 2040,target,hedged,,,2040,,0.25,data/raw/hm/2025_sustainability_report.pdf
"This target is intended to be achieved by balancing the remaining emissions in our value chain with carbon removals in line with the SBTi Net-Zero Standard, after our emissions have been reduced by 90 percent compared with the 2019 baseline.",40,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,90 percent,2019,,value chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"These initiatives are focused on addressing our residual GHG emissions in 2040, which are expected to equal no more than 10 percent of our total GHG emissions in 2019 (our baseline level).",40,Our actions to reduce GHG emissions > Targets for 2040,other,,10 percent,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"To date, we have entered into 23 offtake agreements for permanent ­carbon removals.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,23,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"At the end of 2025, we have not cancelled any credits for permanent carbon removals, but we have received 388 tonnes.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,388 tonnes,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Initiatives beyond value chain mitigation To further contribute to the global transition to net-zero, we engage in nature-based projects that contribute to climate action beyond our value chain.",40,Our actions to reduce GHG emissions > Targets for 2040,attribute,hedged,,,,value chain,0.5,data/raw/hm/2025_sustainability_report.pdf
In 2022 we therefore joined the Lowering Emissions by Accelerating Forest Finance (LEAF) Coalition as a corporate partner to ­support the ­preservation of forests.,40,Our actions to reduce GHG emissions > Targets for 2040,other,hedged,2022,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
For 2025 we have not retired or taken delivery of any carbon credits1.,40,Our actions to reduce GHG emissions > Targets for 2040,other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, the internal carbon price was set at USD 20 per tonne of CO₂e.",40,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,"2025,",,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"The carbon price is applied to each order and covers emissions associated with raw material extraction, production processes in Tier 1 to 3, and transportation across the value chain.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,1,,,value chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"In 2025, this represented around 57 percent of our total Scope 3 GHG emissions.",40,Our actions to reduce GHG emissions > Targets for 2040,other,,57 percent,,,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
Scope 1 and Scope 2 GHG emissions are not covered by the internal carbon price.,40,Our actions to reduce GHG emissions > Targets for 2040,other,,1,,,Scope 1; Scope 2,1.0,data/raw/hm/2025_sustainability_report.pdf
The specific price was set as a function of the estimated cost of reaching our 2030 Scope 3 ­target and the baseline GHG emissions from the included activities.,40,Our actions to reduce GHG emissions > Targets for 2040,achievement,achievement,2030,,,Scope 3,0.67,data/raw/hm/2025_sustainability_report.pdf
1. We make no claims of GHG-neutrality based on the purchase of these carbon credits.,40,Our actions to reduce GHG emissions > Targets for 2040,other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
