sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
1. Refers to science-based targets for own operations (Scope 1 and 2) and for the company’s entire value chain (Scope 3) and excludes use of sold products.,5,SEK 31 billion cash flow from operating activities > Commercial products,other,,1,,,Scope 1; Scope 3; own operations; value chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"To be launched in spring 2026, the collection will feature certified, responsibly made materials and will showcase examples of alternatives to conventional fabrics and ­textiles.",6,A year filled with creativity,other,firm,"2026,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"The strong AW25 collection was a study in contrast, materiality and craftsmanship.",6,A year filled with creativity,other,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Fashion Revolution’s report What Fuels Fashion 2025 recognised H&M’s sustainability reporting as transparent and accessible, putting us in first place among 200 major fashion brands and retailers.",6,Sustainability efforts recognised,other,,2025,2025,,,0.5,data/raw/hm/2025_sustainability_report.pdf
H&M was also ranked number one among 42 fashion companies by the organisation Stand.earth for our efforts to reduce climate impact.,6,Sustainability efforts recognised,achievement,achievement,42,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"In 2025 we continued to take important steps towards all our ­long-term targets: profitability increased, the sales trend was ­positive and our CO₂ emissions decreased.",7,Sustainability efforts recognised,achievement,achievement,2025,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
Bringing business and sustainability together Integrating our sustainability efforts into the business is the key to reducing emissions in line with our plan and the 1.5°C target.,8,Sustainability efforts recognised,other,,1.5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
During the year we further reduced our emissions in Scope 32 and are well on the way to our longterm target of an absolute reduction of 56 percent by 2030.,8,Sustainability efforts recognised,target,achievement,56 percent,,2030,Scope 3,0.75,data/raw/hm/2025_sustainability_report.pdf
2. Scope 3 excludes the use of sold products.,8,Inspiration and presence in all channels,other,,3,,,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"A 56 percent absolute reduction in greenhouse gas emissions1 no later than 2030, with 2019 as a baseline.",12,"Product, experience and brand in harmony",target,,56 percent,,2030,,0.5,data/raw/hm/2025_sustainability_report.pdf
During the year our greenhouse gas emissions in Scope 1 and 2 decreased by 41 percent and in Scope 3 by 34.6 percent.,12,Ambitious long-term targets,achievement,achievement,41 percent,,,Scope 1; Scope 3,0.67,data/raw/hm/2025_sustainability_report.pdf
1. Refers to science-based targets for own operations (Scope 1 & 2) and for the company’s entire value chain (Scope 3) and excludes ­indirect use-phase emissions.,12,Ambitious long-term targets,other,,1,,,Scope 1; Scope 3; own operations; value chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"In 2025 we took further steps to elevate the experience in our physical stores through up­­ grades to create more inspiring, relevant environments.",13,The physical store as a meeting place,other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"As we have a substantial need for innovative new materials, we invest in startups that support our longterm ambition to use only sustainably sourced textiles.",15,Flexibility and efficiency all along the value chain,target,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
The H&M Foundation is an independent non-profit foundation privately funded by the Persson family – the founders and main owners of H&M Group – that works to support the textile industry to halve its greenhouse gas emissions every decade until 2050 while ensuring a just transition for both people and the environment.,15,H&M Foundation,target,hedged,2050,,2050,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Since its inception in 2015, the Global Change Award has awarded 56 pioneering teams from 23 countries for ideas ranging from lab-grown cotton and microbial dyes to graphene fibres and test environments for waste sorting.",15,H&M Foundation,other,,"2015,",2015,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"This year’s 10 award winners are from all over the world and are being recognised for solutions that advance smart recycling, heat pumps that can replace outdated oil and gas boilers, and more inclusive and circular systems in the fashion industry.",15,H&M Foundation,other,,10,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Leyla joined H&M in 2000 and has held numerous leadership roles across production, supply chain and sustainability, working in Bangladesh, China and Türkiye.",29,Board of directors > LEYLA ERTUR GENC,other,,2000,,,supply chain,1.0,data/raw/hm/2025_sustainability_report.pdf
Since 2021 she has led H&M Group’s global sustainability efforts.,29,Board of directors > LEYLA ERTUR GENC,other,,2021,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
In 2025 the company worked to establish and implement a framework for internal control over sustainability reporting in accordance with the Corporate Sustainability Reporting Directive (CSRD).,30,Executive management 1 > DANIEL ERVÉR,other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"By reducing our dependence on critical and finite resources such as material, water and energy, we are working towards decoupling our growth from resource use and ensure we contribute to limiting global warming to 1.5°C.",32,Decoupling growth,other,hedged,1.5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"To achieve this, we are increasing the use of certified, re­cycled and ­sustainably sourced materials, while improving resource ­efficiency across our own operations and value chain.",32,Decoupling growth,attribute,,,,,own operations; value chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we continued to increase the share of re­cycled and sustain­ably sourced materials in our commercial products and packaging.",32,Driving change within our industry,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Compared to 2019, our absolute Scope 3 emissions have declined by 34.6 percent, which is in line with the science based targets we have set for 2030.",32,Driving change within our industry,other,,34.6 percent,2019,,Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"In 2025, ­92.6 percent of chemicals in Tier 1 and 2 production units were assured to meet ZDHC MRSL1 requirements, contributing to improved chemical management in our supply chain.",32,Driving change within our industry,achievement,achievement,92.6 percent,,,supply chain; supply chain (tier 1),0.67,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we continued our investments into decarbonisation and the revenue for our resale offering has continued to increase.",32,Driving change within our industry,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Our Scope 3 GHG emissions (excluding use-phase) have been decreasing over time in line with the set targets, although some variation in the progress for each year is to be expected on the ­journey towards the 2030 target.",32,Absolute Scope 3 GHG ­emissions (tonnes CO2e),achievement,achievement,3,,,Scope 3,0.67,data/raw/hm/2025_sustainability_report.pdf
The graph shows the share of our commercial products that are made from recycled or ­sustainably sourced materials.,32,Re­cycled and sustain­ably sourced materials,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Metrics with the highest measurement uncertainty include GHG emissions in Scope 3 categories 1 and 4 due to modelling complexity, and categories 5, 11, 12 and waste generated in own operations due to limited downstream traceability.",33,Our approach to sustainability,other,,3,,,Scope 3; own operations; downstream,1.0,data/raw/hm/2025_sustainability_report.pdf
"However, we have defined an upper limit for the long-term horizon of 15 years to align with our climate targets, which extend to 2040.",33,Our approach to sustainability,other,,15,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, this meant that we decided to enter into a multi-year strategic partnership with Circulose to replace virgin viscose, as well as to continue supporting Syre to ­enable large-scale textile-to-textile recycling.",33,Our approach to sustainability,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"These initiatives are part of our overall plan to strengthen the resilience of our business model by optimising our production and resource use, reducing GHG emissions in the value chain, increasing the use of recycled and sustainably sourced materials, and accelerating the transition to a circular economy for fashion.",33,Our approach to sustainability,attribute,hedged,,,,value chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2024, the board also underwent training on the CSRD (Corporate Sustainability Reporting Directive) to increase their understanding of managing our material sustainability matters in relation to the new regulations, thereby ensuring effective governance and monitoring of sustainability efforts within the H&M group.",34,Our sustainability steering model,other,,"2024,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In the long-term incentive program (“LTIP 2025”), the outcome of performance shares awards to the participants is subject to the satisfaction of ­performance criteria related to the three-year performance linked to the development of the groups operating profit, total shareholders return on the H&M share and environmental, social and governance (ESG), i.e. reduction of GHG emissions.",34,Our sustainability steering model,other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"The sustain­ability‑related criteria are linked to the company reducing its absolute CO₂e emissions in Scope 1, 2, and Scope 3 compared to the 2019 level.",34,Our sustainability steering model,other,,"1,",2019,,Scope 1; Scope 3,1.0,data/raw/hm/2025_sustainability_report.pdf
"During 2025, we have continued to develop internal control and data ­management procedures to improve our sustainability governance framework and mitigate risks associated with the consolidation and reporting of sustainability data.",34,Our sustainability steering model,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Although progress towards these targets has been made during the year, we anticipate future challenges related to the availability of recycled and sustainably sourced materials, and the management of global supply chains and business relationships in high-risk regions.",35,"Our sustainability steering model > Employees per region, 2025",attribute,achievement,,,,supply chain,0.5,data/raw/hm/2025_sustainability_report.pdf
Examples of ongoing actions – spanning several products and markets – include our efforts to achieve 100 percent recycled or sustainably sourced materials in our commercial products and packaging by 2030.,35,"Our sustainability steering model > Employees per region, 2025",target,,100 percent,,2030,,0.5,data/raw/hm/2025_sustainability_report.pdf
"The portfolio consists of over 30 com­panies and includes Sellpy, Syre, and Looper Textile, which aim to contribute to the transition towards a circular economy for fashion.",35,"Our sustainability steering model > Employees per region, 2025",other,hedged,30,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we continued integrating sustainability-related impacts, risks and opportunities into our enterprise risk management (ERM) system to ensure they are assessed on the same basis as other financial and operational risks.",36,Our key stakeholders,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
This integration will continue throughout 2026 to ensure that the understanding of sustainabilityrelated matters also supports strategic decision-making processes affecting our business model.,36,Our key stakeholders,target,firm,2026,,2026,,0.5,data/raw/hm/2025_sustainability_report.pdf
Step 1: Understanding The double materiality analysis process begins with developing a clear understanding of the context in which we operate in order to map relevant sustainability areas.,36,Our key stakeholders,other,,1,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Step 3: Assessment To evaluate the significance of the impacts, risks and opportunities we have identified, we conduct a structured assessment in accordance with the principle of double materiality.",36,Our key stakeholders,other,,3,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"For the financial year 2025, impacts assessed as medium, high or critical were considered material and financial effects assessed as high or critical were considered material.",36,Our key stakeholders,achievement,achievement,"2025,",,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Step 5: Monitoring Once a materiality threshold has been set, the results from the double materiality analysis are shared before the start of the next financial year with our executive management team and board of directors to inform our strategic priorities for the coming year.",36,Our key stakeholders,achievement,achievement,5,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"Our material sustainability matters and business resilience In 2025, we further developed our materiality analysis process by integrating the principles of double materiality.",36,Our key stakeholders,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"The results show that H&M Group’s planned and ongoing actions – including the shift to recycled and sustainably sourced materials, and investments to improve resource efficiency – support the organisation’s ability to respond proactively to supply chain disruptions and maintain operational resilience in the short to medium term (within one to five years).",36,Our key stakeholders,attribute,hedged,,,,supply chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"These results assume that we reach our 2030 targets related to climate change and resource use, and that we make no significant changes to our asset base.",36,Our key stakeholders,other,,2030,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
Our resilience analysis methodology will be further developed during 2026 to ensure we cover all material sustainability matters.,36,Our key stakeholders,other,firm,2026,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
