sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
An important step towards achieving 30 percent recycled materials by 2025 is that some of our collections are made of materials using new garment recycling technology – a new ground breaking technology.,31,"Production, logistics and distribution",target,,30 percent,,2025,,0.5,data/raw/hm/2021_sustainability_report.pdf
"The material Circulose®, made from recycled cotton waste, was developed by Renewcell, a textile recycling company.",31,"Production, logistics and distribution",attribute,achievement,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
We work with suppliers that share our sustainability vision for a more sustainable fashion industry.,31,"Recycled, regenerated and more sustainably sourced materials",attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
H&M Group’s goal is to reduce its greenhouse gas emissions in absolute figures by 56 percent by 2030 (baseline 2019)1.,31,Renewable energy,target,,56 percent,,2030,,0.5,data/raw/hm/2021_sustainability_report.pdf
As one part of this we are working to source 100 percent renewable ­electricity in our own operations and to increase the use of renewable electricity among our partners and suppliers.,31,Renewable energy,other,,100 percent,,,own operations,1.0,data/raw/hm/2021_sustainability_report.pdf
"To achieve our 100 percent goal we will continue to work towards a balanced portfolio of Energy Attribute Certificates, power purchase agreements on large-scale renewables projects, and rooftop solar photovoltaics.",31,Renewable energy,target,firm,100 percent,,,,0.25,data/raw/hm/2021_sustainability_report.pdf
Our tier 1 and 2 production supply chains alone contributes to the employment of around one and a half million people.,32,Fair jobs and positive social impacts,other,,1,,,supply chain; supply chain (tier 1),1.0,data/raw/hm/2021_sustainability_report.pdf
"As part of this, we assess not only our salient human rights issues on an annual basis, but also the long-term risks and impacts – such as what a shift to a more digital, circular and climate positive value chain could mean for future work.",32,Fair jobs and positive social impacts,attribute,hedged,,,,value chain,0.5,data/raw/hm/2021_sustainability_report.pdf
For 2025 one of our goals is to design 100 percent of our packaging to be reusable and/or recyclable.,32,"Reusable, plastic-free packaging",attribute,,100 percent,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
Our sustainability vision H&M Group wants to lead the change towards a circular and climate positive fashion industry while being a fair and equal company.,35,Sustainable fashion and design for everyone,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
"2022: From January 1, 2022, we will not onboard any new suppliers or supplier factories into our supply chain if they have on-site coal boilers in their factories — as part of a longer term aim to phase out coal from our supply chain.",36,Our sustainability strategy,other,firm,2022,,,supply chain,1.0,data/raw/hm/2021_sustainability_report.pdf
Achievement 2021: -22 percent within scope 1 and 2 and -9 percent within scope 3.,36,Our sustainability strategy,other,,22 percent,,,Scope 1; Scope 3,1.0,data/raw/hm/2021_sustainability_report.pdf
"Use 100 percent renewable electricity in own operations, raising the bar on our energy sourcing criteria.",36,Our sustainability strategy,other,,100 percent,,,own operations,1.0,data/raw/hm/2021_sustainability_report.pdf
Source 30 percent recycled materials.,36,Materials and resources,attribute,,30 percent,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
"2030: Make 100 percent of packaging from recycled or other more sustainably sourced ­materials, with a preference for post-consumer recycled materials.",36,Materials and resources,attribute,,100 percent,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
"Maintaining strong relationships with our stakeholders helps us identify innovative ways to create fashion for our customers, drive innovation, and develop more sustainable materials and new business models.",37,Key sustainability goals,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
95 percent of electricity sourced for our own operations was renewable (90 percent in 2020).,37,Collaboration and innovation are key,achievement,achievement,95 percent,,,own operations,0.67,data/raw/hm/2021_sustainability_report.pdf
"To achieve our 100 percent goal we will continue to work towards a balanced portfolio of Energy Attribute Certificates, power purchase agreements on largescale renewables projects, and rooftop solar photovoltaics.",37,Collaboration and innovation are key,target,firm,100 percent,,,,0.25,data/raw/hm/2021_sustainability_report.pdf
"As in 2020, the external factors that had the greatest impact on 2021 were the Covid-19 pandemic and the consequences of climate change as well as the increasing digitalisation of society.",47,Corporate governance report 2021 H & M Hennes & Mauritz AB > H&M’s corporate governance structure,achievement,achievement,"2020,",2021,,,0.67,data/raw/hm/2021_sustainability_report.pdf
Primary occupation Partner at the law firm Mannheimer Swartling since 2009 and chair of Mannheimer Swartling’s Corporate Sustainability & Risk Management practice group.,52,The board of directors > ERICA WIKING HÄGER,other,,2009,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
The brands offer various products and services based on circular business models and in the collections the percentage of recycled and other more sustainably sourced materials is increasing.,55,Administration report,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
"In parallel with managing the Covid-19 situation the company continued to work according to its business plan, which aims to deliver long-term ­sustainable and profitable growth.",56,Administration report > FIVE YEAR SUMMARY,other,hedged,19,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
By 2030 at latest the H&M group is to double sales while at the same time halving its carbon footprint.,56,Administration report > FIVE YEAR SUMMARY,target,,2030,,2030,,0.5,data/raw/hm/2021_sustainability_report.pdf
"The Covid-19 pandemic in 2020 and 2021 has made the group’s brands and functions work hard to manage challenges within cost levels, supply chain and the customer experience, while still delivering without compromising on the business idea of the group’s brands: Fashion and quality at the best price in a sustainable way.",57,Administration report > FIVE YEAR SUMMARY,other,,19,,,supply chain,1.0,data/raw/hm/2021_sustainability_report.pdf
